Date, Open, High, Low, Close
07/19/23, 34991.21, 35234.05, 34991.21, 35061.21
07/18/23, 34597.08, 34986.36, 34530.61, 34951.93
07/17/23, 34499.74, 34665.15, 34418.72, 34585.35
07/14/23, 34425.33, 34592.26, 34425.33, 34509.03
07/13/23, 34412.31, 34482.26, 34365.33, 34395.14
07/12/23, 34395.28, 34586.94, 34308.78, 34347.43
07/11/23, 34056.94, 34288.87, 33993.01, 34261.42
07/10/23, 33705.68, 33958.36, 33705.68, 33944.40
07/07/23, 33837.07, 34036.38, 33716.75, 33734.88
07/06/23, 34171.39, 34171.39, 33771.47, 33922.26
07/05/23, 34344.72, 34376.11, 34226.98, 34288.64
07/03/23, 34369.78, 34465.60, 34286.54, 34418.47
06/30/23, 34269.92, 34467.35, 34269.92, 34407.60
06/29/23, 33854.57, 34147.68, 33828.63, 34122.42
06/28/23, 33881.38, 33903.76, 33755.92, 33852.66
06/27/23, 33739.03, 33975.65, 33730.39, 33926.74
06/26/23, 33730.79, 33819.49, 33610.32, 33714.71
06/23/23, 33835.66, 33835.66, 33646.49, 33727.43
06/22/23, 33900.47, 34003.56, 33835.39, 33946.71
06/21/23, 33990.56, 34097.93, 33876.17, 33951.52
06/20/23, 34206.66, 34206.66, 33915.93, 34053.87
06/16/23, 34464.02, 34588.68, 34285.69, 34299.12
06/15/23, 33945.98, 34488.98, 33945.98, 34408.06
06/14/23, 34044.70, 34151.42, 33783.55, 33979.33
06/13/23, 34111.08, 34310.28, 34107.98, 34212.12
06/12/23, 33906.80, 34077.84, 33878.46, 34066.33
06/09/23, 33852.44, 33975.32, 33787.16, 33876.78
06/08/23, 33656.98, 33873.81, 33630.04, 33833.61
06/07/23, 33562.47, 33708.78, 33546.11, 33665.02
06/06/23, 33547.67, 33631.25, 33399.69, 33573.28
06/05/23, 33771.13, 33804.22, 33552.79, 33562.86
06/02/23, 33187.58, 33805.00, 33187.58, 33762.76
06/01/23, 32929.85, 33167.75, 32704.51, 33061.57
05/31/23, 32948.71, 32984.83, 32739.73, 32908.27
05/30/23, 33103.65, 33132.70, 32893.97, 33042.78
05/26/23, 32795.50, 33162.06, 32795.50, 33093.34
05/25/23, 32854.26, 32870.43, 32586.56, 32764.65
05/24/23, 33021.76, 33031.75, 32752.44, 32799.92
05/23/23, 33190.60, 33310.17, 33013.29, 33055.51
05/22/23, 33408.54, 33512.30, 33207.85, 33286.58
05/19/23, 33582.95, 33652.90, 33336.66, 33426.63
05/18/23, 33374.56, 33579.91, 33212.09, 33535.91
05/17/23, 33092.48, 33472.38, 33050.41, 33420.77
05/16/23, 33275.37, 33290.85, 33006.19, 33012.14
05/15/23, 33321.21, 33400.30, 33161.93, 33348.60
05/12/23, 33370.58, 33406.40, 33110.61, 33300.62
05/11/23, 33383.89, 33389.88, 33127.70, 33309.51
05/10/23, 33707.20, 33772.09, 33239.45, 33531.33
05/09/23, 33589.85, 33656.40, 33509.72, 33561.81
05/08/23, 33715.15, 33747.49, 33509.23, 33618.69
05/05/23, 33248.55, 33748.43, 33248.55, 33674.38
05/04/23, 33347.78, 33354.86, 32937.50, 33127.74
05/03/23, 33726.64, 33811.84, 33396.05, 33414.24
05/02/23, 34017.62, 34017.75, 33436.66, 33684.53
05/01/23, 34116.81, 34257.83, 34030.14, 34051.70
04/28/23, 33797.43, 34104.56, 33728.40, 34098.16
04/27/23, 33381.66, 33859.75, 33374.65, 33826.16
04/26/23, 33596.34, 33645.83, 33235.85, 33301.87
04/25/23, 33828.34, 33875.49, 33525.39, 33530.83
04/24/23, 33805.04, 33891.15, 33726.09, 33875.40
04/21/23, 33793.60, 33858.83, 33688.57, 33808.96
